I (414) example: Throttle: 0 | Pitch: -6.14
I (2314) example: Throttle: 0 | Pitch: -6.38
I (2324) example: Throttle: 0 | Pitch: -6.38
I (2334) example: Throttle: 0 | Pitch: -6.37
I (2344) example: Throttle: 0 | Pitch: -6.37
I (2354) example: Throttle: 0 | Pitch: -6.37
I (2364) example: Throttle: 0 | Pitch: -6.38
I (2374) example: Throttle: 0 | Pitch: -6.38
I (2384) example: Throttle: 0 | Pitch: -6.39
I (2394) example: Throttle: 0 | Pitch: -6.39
I (2404) example: Throttle: 0 | Pitch: -6.38
I (2404) example: Increase throttle, no telemetry
I (2414) example: Throttle: 50 | Pitch: -6.38
I (2424) example: Throttle: 50 | Pitch: -6.38
I (2434) example: Throttle: 50 | Pitch: -6.37
I (2444) example: Throttle: 50 | Pitch: -6.37
I (2454) example: Throttle: 50 | Pitch: -6.35
I (2464) example: Throttle: 50 | Pitch: -6.37
I (2474) example: Throttle: 50 | Pitch: -6.35
I (2484) example: Throttle: 50 | Pitch: -6.35
I (2494) example: Throttle: 50 | Pitch: -6.37
I (2504) example: Throttle: 50 | Pitch: -6.38
I (2514) example: Throttle: 50 | Pitch: -6.39
I (2524) example: Throttle: 50 | Pitch: -6.38
I (2534) example: Throttle: 50 | Pitch: -6.36
I (2544) example: Throttle: 50 | Pitch: -6.37
I (2554) example: Throttle: 50 | Pitch: -6.35
I (2564) example: Throttle: 50 | Pitch: -6.36
I (2574) example: Throttle: 50 | Pitch: -6.34
I (2584) example: Throttle: 50 | Pitch: -6.35
I (2594) example: Throttle: 50 | Pitch: -6.38
I (2604) example: Throttle: 50 | Pitch: -6.39
I (2614) example: Throttle: 60 | Pitch: -6.35
I (2624) example: Throttle: 60 | Pitch: -6.37
I (2634) example: Throttle: 60 | Pitch: -6.38
I (2644) example: Throttle: 60 | Pitch: -6.34
I (2654) example: Throttle: 60 | Pitch: -6.34
I (2664) example: Throttle: 60 | Pitch: -6.33
I (2674) example: Throttle: 60 | Pitch: -6.32
I (2684) example: Throttle: 60 | Pitch: -6.33
I (2694) example: Throttle: 60 | Pitch: -6.35
I (2704) example: Throttle: 60 | Pitch: -6.35
I (2714) example: Throttle: 60 | Pitch: -6.34
I (2724) example: Throttle: 60 | Pitch: -6.37
I (2734) example: Throttle: 60 | Pitch: -6.33
I (2744) example: Throttle: 60 | Pitch: -6.31
I (2754) example: Throttle: 60 | Pitch: -6.35
I (2764) example: Throttle: 60 | Pitch: -6.36
I (2774) example: Throttle: 60 | Pitch: -6.37
I (2784) example: Throttle: 60 | Pitch: -6.33
I (2794) example: Throttle: 60 | Pitch: -6.34
I (2804) example: Throttle: 60 | Pitch: -6.35
I (2814) example: Throttle: 70 | Pitch: -6.38
I (2824) example: Throttle: 70 | Pitch: -6.35
I (2834) example: Throttle: 70 | Pitch: -6.37
I (2844) example: Throttle: 70 | Pitch: -6.34
I (2854) example: Throttle: 70 | Pitch: -6.36
I (2864) example: Throttle: 70 | Pitch: -6.36
I (2874) example: Throttle: 70 | Pitch: -6.35
I (2884) example: Throttle: 70 | Pitch: -6.38
I (2894) example: Throttle: 70 | Pitch: -6.33
I (2904) example: Throttle: 70 | Pitch: -6.36
I (2914) example: Throttle: 70 | Pitch: -6.37
I (2924) example: Throttle: 70 | Pitch: -6.36
I (2934) example: Throttle: 70 | Pitch: -6.36
I (2944) example: Throttle: 70 | Pitch: -6.38
I (2954) example: Throttle: 70 | Pitch: -6.33
I (2964) example: Throttle: 70 | Pitch: -6.30
I (2974) example: Throttle: 70 | Pitch: -6.26
I (2984) example: Throttle: 70 | Pitch: -6.27
I (2994) example: Throttle: 70 | Pitch: -6.31
I (3004) example: Throttle: 70 | Pitch: -6.30
I (3014) example: Throttle: 80 | Pitch: -6.34
I (3024) example: Throttle: 80 | Pitch: -6.30
I (3034) example: Throttle: 80 | Pitch: -6.30
I (3044) example: Throttle: 80 | Pitch: -6.30
I (3054) example: Throttle: 80 | Pitch: -6.31
I (3064) example: Throttle: 80 | Pitch: -6.29
I (3074) example: Throttle: 80 | Pitch: -6.27
I (3084) example: Throttle: 80 | Pitch: -6.26
I (3094) example: Throttle: 80 | Pitch: -6.29
I (3104) example: Throttle: 80 | Pitch: -6.33
I (3114) example: Throttle: 80 | Pitch: -6.29
I (3124) example: Throttle: 80 | Pitch: -6.31
I (3134) example: Throttle: 80 | Pitch: -6.25
I (3144) example: Throttle: 80 | Pitch: -6.32
I (3154) example: Throttle: 80 | Pitch: -6.25
I (3164) example: Throttle: 80 | Pitch: -6.29
I (3174) example: Throttle: 80 | Pitch: -6.24
I (3184) example: Throttle: 80 | Pitch: -6.27
I (3194) example: Throttle: 80 | Pitch: -6.29
I (3204) example: Throttle: 80 | Pitch: -6.31
I (3214) example: Throttle: 90 | Pitch: -6.32
I (3224) example: Throttle: 90 | Pitch: -6.27
I (3234) example: Throttle: 90 | Pitch: -6.30
I (3244) example: Throttle: 90 | Pitch: -6.27
I (3254) example: Throttle: 90 | Pitch: -6.34
I (3264) example: Throttle: 90 | Pitch: -6.32
I (3274) example: Throttle: 90 | Pitch: -6.33
I (3284) example: Throttle: 90 | Pitch: -6.33
I (3294) example: Throttle: 90 | Pitch: -6.32
I (3304) example: Throttle: 90 | Pitch: -6.34
I (3314) example: Throttle: 90 | Pitch: -6.35
I (3324) example: Throttle: 90 | Pitch: -6.36
I (3334) example: Throttle: 90 | Pitch: -6.31
I (3344) example: Throttle: 90 | Pitch: -6.31
I (3354) example: Throttle: 90 | Pitch: -6.29
I (3364) example: Throttle: 90 | Pitch: -6.32
I (3374) example: Throttle: 90 | Pitch: -6.30
I (3384) example: Throttle: 90 | Pitch: -6.27
I (3394) example: Throttle: 90 | Pitch: -6.27
I (3404) example: Throttle: 90 | Pitch: -6.26
I (3414) example: Throttle: 100 | Pitch: -6.27
I (3424) example: Throttle: 100 | Pitch: -6.27
I (3434) example: Throttle: 100 | Pitch: -6.27
I (3444) example: Throttle: 100 | Pitch: -6.27
I (3454) example: Throttle: 100 | Pitch: -6.29
I (3464) example: Throttle: 100 | Pitch: -6.33
I (3474) example: Throttle: 100 | Pitch: -6.31
I (3484) example: Throttle: 100 | Pitch: -6.29
I (3494) example: Throttle: 100 | Pitch: -6.26
I (3504) example: Throttle: 100 | Pitch: -6.29
I (3514) example: Throttle: 100 | Pitch: -6.28
I (3524) example: Throttle: 100 | Pitch: -6.29
I (3534) example: Throttle: 100 | Pitch: -6.24
I (3544) example: Throttle: 100 | Pitch: -6.24
I (3554) example: Throttle: 100 | Pitch: -6.23
I (3564) example: Throttle: 100 | Pitch: -6.22
I (3574) example: Throttle: 100 | Pitch: -6.24
I (3584) example: Throttle: 100 | Pitch: -6.22
I (3594) example: Throttle: 100 | Pitch: -6.27
I (3604) example: Throttle: 100 | Pitch: -6.25
I (3614) example: Throttle: 110 | Pitch: -6.27
I (3624) example: Throttle: 110 | Pitch: -6.29
I (3634) example: Throttle: 110 | Pitch: -6.29
I (3644) example: Throttle: 110 | Pitch: -6.33
I (3654) example: Throttle: 110 | Pitch: -6.35
I (3664) example: Throttle: 110 | Pitch: -6.38
I (3674) example: Throttle: 110 | Pitch: -6.40
I (3684) example: Throttle: 110 | Pitch: -6.40
I (3694) example: Throttle: 110 | Pitch: -6.37
I (3704) example: Throttle: 110 | Pitch: -6.41
I (3714) example: Throttle: 110 | Pitch: -6.42
I (3724) example: Throttle: 110 | Pitch: -6.43
I (3734) example: Throttle: 110 | Pitch: -6.47
I (3744) example: Throttle: 110 | Pitch: -6.45
I (3754) example: Throttle: 110 | Pitch: -6.47
I (3764) example: Throttle: 110 | Pitch: -6.43
I (3774) example: Throttle: 110 | Pitch: -6.43
I (3784) example: Throttle: 110 | Pitch: -6.42
I (3794) example: Throttle: 110 | Pitch: -6.43
I (3804) example: Throttle: 110 | Pitch: -6.43
I (3814) example: Throttle: 120 | Pitch: -6.47
I (3824) example: Throttle: 120 | Pitch: -6.47
I (3834) example: Throttle: 120 | Pitch: -6.49
I (3844) example: Throttle: 120 | Pitch: -6.47
I (3854) example: Throttle: 120 | Pitch: -6.46
I (3864) example: Throttle: 120 | Pitch: -6.48
I (3874) example: Throttle: 120 | Pitch: -6.43
I (3884) example: Throttle: 120 | Pitch: -6.47
I (3894) example: Throttle: 120 | Pitch: -6.54
I (3904) example: Throttle: 120 | Pitch: -6.57
I (3914) example: Throttle: 120 | Pitch: -6.55
I (3924) example: Throttle: 120 | Pitch: -6.51
I (3934) example: Throttle: 120 | Pitch: -6.54
I (3944) example: Throttle: 120 | Pitch: -6.51
I (3954) example: Throttle: 120 | Pitch: -6.52
I (3964) example: Throttle: 120 | Pitch: -6.51
I (3974) example: Throttle: 120 | Pitch: -6.54
I (3984) example: Throttle: 120 | Pitch: -6.47
I (3994) example: Throttle: 120 | Pitch: -6.50
I (4004) example: Throttle: 120 | Pitch: -6.46
I (4014) example: Throttle: 130 | Pitch: -6.50
I (4024) example: Throttle: 130 | Pitch: -6.41
I (4034) example: Throttle: 130 | Pitch: -6.40
I (4044) example: Throttle: 130 | Pitch: -6.44
I (4054) example: Throttle: 130 | Pitch: -6.41
I (4064) example: Throttle: 130 | Pitch: -6.38
I (4074) example: Throttle: 130 | Pitch: -6.41
I (4084) example: Throttle: 130 | Pitch: -6.35
I (4094) example: Throttle: 130 | Pitch: -6.32
I (4104) example: Throttle: 130 | Pitch: -6.32
E (4104) i2cdev: Could not write to device [0x68 at 1]: 263 (ESP_ERR_TIMEOUT)
I (4114) example: Throttle: 130 | Pitch: -6.34
I (4124) example: Throttle: 130 | Pitch: -6.31
I (4134) example: Throttle: 130 | Pitch: -6.31
I (4144) example: Throttle: 130 | Pitch: -6.30
I (4154) example: Throttle: 130 | Pitch: -6.26
I (4164) example: Throttle: 130 | Pitch: -6.29
I (4174) example: Throttle: 130 | Pitch: -6.31
I (4184) example: Throttle: 130 | Pitch: -6.32
I (4194) example: Throttle: 130 | Pitch: -6.30
I (4204) example: Throttle: 130 | Pitch: -6.34
I (4214) example: Throttle: 140 | Pitch: -6.33
I (4224) example: Throttle: 140 | Pitch: -6.36
I (4234) example: Throttle: 140 | Pitch: -6.37
I (4244) example: Throttle: 140 | Pitch: -6.32
I (4254) example: Throttle: 140 | Pitch: -6.32
I (4264) example: Throttle: 140 | Pitch: -6.33
I (4274) example: Throttle: 140 | Pitch: -6.36
I (4284) example: Throttle: 140 | Pitch: -6.30
I (4294) example: Throttle: 140 | Pitch: -6.30
I (4304) example: Throttle: 140 | Pitch: -6.30
I (4314) example: Throttle: 140 | Pitch: -6.29
I (4324) example: Throttle: 140 | Pitch: -6.29
I (4334) example: Throttle: 140 | Pitch: -6.32
I (4344) example: Throttle: 140 | Pitch: -6.26
I (4354) example: Throttle: 140 | Pitch: -6.30
I (4364) example: Throttle: 140 | Pitch: -6.30
I (4374) example: Throttle: 140 | Pitch: -6.23
I (4384) example: Throttle: 140 | Pitch: -6.32
I (4394) example: Throttle: 140 | Pitch: -6.33
I (4404) example: Throttle: 140 | Pitch: -6.28
I (4414) example: Throttle: 150 | Pitch: -6.32
I (4424) example: Throttle: 150 | Pitch: -6.29
I (4434) example: Throttle: 150 | Pitch: -6.29
I (4444) example: Throttle: 150 | Pitch: -6.33
I (4454) example: Throttle: 150 | Pitch: -6.28
I (4464) example: Throttle: 150 | Pitch: -6.26
I (4474) example: Throttle: 150 | Pitch: -6.34
I (4484) example: Throttle: 150 | Pitch: -6.30
I (4494) example: Throttle: 150 | Pitch: -6.32
I (4504) example: Throttle: 150 | Pitch: -6.36
I (4514) example: Throttle: 150 | Pitch: -6.28
I (4524) example: Throttle: 150 | Pitch: -6.34
I (4534) example: Throttle: 150 | Pitch: -6.36
I (4544) example: Throttle: 150 | Pitch: -6.28
I (4554) example: Throttle: 150 | Pitch: -6.37
I (4564) example: Throttle: 150 | Pitch: -6.34
I (4574) example: Throttle: 150 | Pitch: -6.29
I (4584) example: Throttle: 150 | Pitch: -6.39
I (4594) example: Throttle: 150 | Pitch: -6.31
I (4604) example: Throttle: 150 | Pitch: -6.30
I (4614) example: Throttle: 160 | Pitch: -6.43
I (4624) example: Throttle: 160 | Pitch: -6.27
I (4634) example: Throttle: 160 | Pitch: -6.36
I (4644) example: Throttle: 160 | Pitch: -6.37
I (4654) example: Throttle: 160 | Pitch: -6.29
I (4664) example: Throttle: 160 | Pitch: -6.43
I (4674) example: Throttle: 160 | Pitch: -6.35
I (4684) example: Throttle: 160 | Pitch: -6.37
I (4694) example: Throttle: 160 | Pitch: -6.44
I (4704) example: Throttle: 160 | Pitch: -6.28
I (4714) example: Throttle: 160 | Pitch: -6.37
I (4724) example: Throttle: 160 | Pitch: -6.34
I (4734) example: Throttle: 160 | Pitch: -6.27
I (4744) example: Throttle: 160 | Pitch: -6.38
I (4754) example: Throttle: 160 | Pitch: -6.30
I (4764) example: Throttle: 160 | Pitch: -6.38
I (4774) example: Throttle: 160 | Pitch: -6.34
I (4784) example: Throttle: 160 | Pitch: -6.32
I (4794) example: Throttle: 160 | Pitch: -6.42
I (4804) example: Throttle: 160 | Pitch: -6.31
I (4814) example: Throttle: 170 | Pitch: -6.37
I (4824) example: Throttle: 170 | Pitch: -6.32
I (4834) example: Throttle: 170 | Pitch: -6.32
I (4844) example: Throttle: 170 | Pitch: -6.41
I (4854) example: Throttle: 170 | Pitch: -6.31
I (4864) example: Throttle: 170 | Pitch: -6.41
I (4874) example: Throttle: 170 | Pitch: -6.37
I (4884) example: Throttle: 170 | Pitch: -6.36
I (4894) example: Throttle: 170 | Pitch: -6.41
I (4904) example: Throttle: 170 | Pitch: -6.37
I (4914) example: Throttle: 170 | Pitch: -6.46
I (4924) example: Throttle: 170 | Pitch: -6.36
I (4934) example: Throttle: 170 | Pitch: -6.42
I (4944) example: Throttle: 170 | Pitch: -6.36
I (4954) example: Throttle: 170 | Pitch: -6.40
I (4964) example: Throttle: 170 | Pitch: -6.34
I (4974) example: Throttle: 170 | Pitch: -6.28
I (4984) example: Throttle: 170 | Pitch: -6.33
I (4994) example: Throttle: 170 | Pitch: -6.29
I (5004) example: Throttle: 170 | Pitch: -6.40
I (5014) example: Throttle: 180 | Pitch: -6.35
I (5024) example: Throttle: 180 | Pitch: -6.37
I (5034) example: Throttle: 180 | Pitch: -6.35
I (5044) example: Throttle: 180 | Pitch: -6.31
I (5054) example: Throttle: 180 | Pitch: -6.36
I (5064) example: Throttle: 180 | Pitch: -6.30
I (5074) example: Throttle: 180 | Pitch: -6.38
I (5084) example: Throttle: 180 | Pitch: -6.32
I (5094) example: Throttle: 180 | Pitch: -6.36
I (5104) example: Throttle: 180 | Pitch: -6.24
I (5114) example: Throttle: 180 | Pitch: -6.31
I (5124) example: Throttle: 180 | Pitch: -6.27
I (5134) example: Throttle: 180 | Pitch: -6.33
I (5144) example: Throttle: 180 | Pitch: -6.27
I (5154) example: Throttle: 180 | Pitch: -6.31
I (5164) example: Throttle: 180 | Pitch: -6.30
I (5174) example: Throttle: 180 | Pitch: -6.26
I (5184) example: Throttle: 180 | Pitch: -6.28
I (5194) example: Throttle: 180 | Pitch: -6.22
I (5204) example: Throttle: 180 | Pitch: -6.27
I (5214) example: Throttle: 190 | Pitch: -6.22
I (5224) example: Throttle: 190 | Pitch: -6.31
I (5234) example: Throttle: 190 | Pitch: -6.27
I (5244) example: Throttle: 190 | Pitch: -6.28
I (5254) example: Throttle: 190 | Pitch: -6.26
I (5264) example: Throttle: 190 | Pitch: -6.33
I (5274) example: Throttle: 190 | Pitch: -6.26
I (5284) example: Throttle: 190 | Pitch: -6.30
I (5294) example: Throttle: 190 | Pitch: -6.24
I (5304) example: Throttle: 190 | Pitch: -6.31
I (5314) example: Throttle: 190 | Pitch: -6.26
I (5324) example: Throttle: 190 | Pitch: -6.31
I (5334) example: Throttle: 190 | Pitch: -6.28
I (5344) example: Throttle: 190 | Pitch: -6.37
I (5354) example: Throttle: 190 | Pitch: -6.31
I (5364) example: Throttle: 190 | Pitch: -6.39
I (5374) example: Throttle: 190 | Pitch: -6.35
I (5384) example: Throttle: 190 | Pitch: -6.41
I (5394) example: Throttle: 190 | Pitch: -6.36
I (5404) example: Throttle: 190 | Pitch: -6.37
I (5414) example: Throttle: 200 | Pitch: -6.34
I (5424) example: Throttle: 200 | Pitch: -6.36
I (5434) example: Throttle: 200 | Pitch: -6.35
I (5444) example: Throttle: 200 | Pitch: -6.41
I (5454) example: Throttle: 200 | Pitch: -6.34
I (5464) example: Throttle: 200 | Pitch: -6.37
I (5474) example: Throttle: 200 | Pitch: -6.37
I (5484) example: Throttle: 200 | Pitch: -6.41
I (5494) example: Throttle: 200 | Pitch: -6.37
I (5504) example: Throttle: 200 | Pitch: -6.40
I (5514) example: Throttle: 200 | Pitch: -6.34
I (5524) example: Throttle: 200 | Pitch: -6.35
I (5534) example: Throttle: 200 | Pitch: -6.38
I (5544) example: Throttle: 200 | Pitch: -6.42
I (5554) example: Throttle: 200 | Pitch: -6.39
I (5564) example: Throttle: 200 | Pitch: -6.42
I (5574) example: Throttle: 200 | Pitch: -6.41
I (5584) example: Throttle: 200 | Pitch: -6.42
I (5594) example: Throttle: 200 | Pitch: -6.43
I (5604) example: Throttle: 200 | Pitch: -6.43
I (5614) example: Throttle: 210 | Pitch: -6.46
I (5624) example: Throttle: 210 | Pitch: -6.47
I (5634) example: Throttle: 210 | Pitch: -6.46
I (5644) example: Throttle: 210 | Pitch: -6.46
I (5654) example: Throttle: 210 | Pitch: -6.47
I (5664) example: Throttle: 210 | Pitch: -6.46
I (5674) example: Throttle: 210 | Pitch: -6.50
I (5684) example: Throttle: 210 | Pitch: -6.48
I (5694) example: Throttle: 210 | Pitch: -6.47
I (5704) example: Throttle: 210 | Pitch: -6.42
I (5714) example: Throttle: 210 | Pitch: -6.44
I (5724) example: Throttle: 210 | Pitch: -6.42
I (5734) example: Throttle: 210 | Pitch: -6.44
I (5744) example: Throttle: 210 | Pitch: -6.47
I (5754) example: Throttle: 210 | Pitch: -6.48
I (5764) example: Throttle: 210 | Pitch: -6.48
I (5774) example: Throttle: 210 | Pitch: -6.46
